Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,415,1382,14,181,14,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Basilicata,115,365,2,79,14,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Calabria,296,1118,22,202,0,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Campania,830,4476,54,812,0,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Emilia-Romagna,1488,9001,85,889,0,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Friuli Venezia Giulia,250,1277,15,175,0,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Lazio,1494,6421,134,943,243,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Liguria,369,1811,24,221,12,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Lombardia,1187,10457,103,1810,0,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Marche,222,1025,27,256,49,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Molise,23,176,3,39,26,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
P.A. Bolzano,76,500,3,100,20,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
P.A. Trento,64,517,7,90,0,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Piemonte,1016,6794,39,628,99,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Puglia,674,2923,39,503,0,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Sardegna,346,1602,28,204,16,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Sicilia,1112,3785,74,856,0,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Toscana,857,5033,65,570,8,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Umbria,152,662,7,86,41,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Valle d'Aosta,31,163,4,34,0,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Veneto,689,6000,50,1000,0,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
Italia,11706,65488,799,9678,542,Dati della Protezione Civile del 25 Febbraio 2022 ore 18:55
