Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,129,1382,7,181,0,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Basilicata,42,358,1,79,13,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Calabria,153,971,5,177,0,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Campania,268,3878,9,575,0,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Emilia-Romagna,867,9001,32,889,0,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Friuli Venezia Giulia,141,1277,2,175,0,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Lazio,508,6421,39,943,243,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Liguria,185,1604,4,218,12,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Lombardia,594,10457,15,1810,0,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Marche,76,983,2,230,50,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Molise,14,176,1,39,26,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
P.A. Bolzano,32,500,1,100,20,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
P.A. Trento,61,517,1,90,0,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Piemonte,290,6794,7,628,99,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Puglia,204,2751,10,405,0,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Sardegna,89,1602,7,204,16,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Sicilia,404,3592,24,785,0,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Toscana,257,5033,9,570,13,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Umbria,137,662,2,86,41,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Valle d'Aosta,9,85,0,13,21,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Veneto,359,6000,17,1000,0,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
Italia,4819,64044,195,9197,554,Dati della Protezione Civile del 02 Settembre 2022 ore 23:45
