Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,100,32375,14467,1108,660,5%,601,46,-4.6&,59,4.52,-7.8%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Basilicata,62,9553,6159,1106,117,2%,106,19,-7&,11,1.98,-8.3%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Calabria,175,20137,9122,474,356,4%,335,17,-3.2&,21,1.09,0%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Campania,647,175700,90242,1560,1843,2%,1720,30,-4.2&,123,2.13,-5.4%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Emilia-Romagna,1238,147558,64634,1447,3011,5%,2797,63,-1.2&,214,4.79,-3.6%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Friuli Venezia Giulia,829,41320,13939,1151,710,5%,654,54,-0.9&,56,4.62,-3.4%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Lazio,1159,142150,84221,1436,3242,4%,2921,50,-0.6&,321,5.47,-7.5%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Liguria,202,56043,8115,526,839,10%,768,50,-1.5&,71,4.6,-2.7%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Lombardia,2404,447011,75890,751,5652,7%,4996,49,-1.1&,656,6.49,-4.2%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Marche,228,35200,11890,783,545,5%,467,31,-0.4&,78,5.14,-6%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Molise,37,5758,2658,879,67,3%,59,20,-3.3&,8,2.65,0%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
P.A. Bolzano,88,26940,10630,1998,232,2%,208,39,-5.9&,24,4.51,-7.7%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
P.A. Trento,377,18846,2707,499,465,17%,412,76,-2.6&,53,9.77,0%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Piemonte,1106,187172,50970,1174,4027,8%,3761,87,-2.5&,266,6.13,-4.3%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Puglia,1023,74651,52275,1304,1717,3%,1530,38,-1.4&,187,4.67,1.6%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Sardegna,231,26737,15384,944,628,4%,570,35,-1.7&,58,3.56,1.8%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Sicilia,1087,80191,35969,724,1410,4%,1225,25,-1&,185,3.72,-2.1%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Toscana,332,113121,16264,437,1370,8%,1156,31,-3.1&,214,5.75,1.9%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Umbria,179,26418,4560,518,334,7%,288,33,-5.9&,46,5.23,12.2%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Valle d'Aosta,20,6905,527,420,80,15%,74,59,0&,6,4.78,-33.3%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Veneto,3320,196790,92690,1889,3040,3%,2694,55,1.8&,346,7.05,0.3%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
Italia,14844,1870576,663313,1101,30345,5%,27342,45,-1.5&,3003,4.98,-3%,Dati della Protezione Civile del 15 Dicembre 2020 ore 19:46
