Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,430,1324,35,181,14,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Basilicata,88,355,6,79,14,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Calabria,411,1090,23,202,0,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Campania,1404,4465,88,812,0,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Emilia-Romagna,2698,9001,154,889,0,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Friuli Venezia Giulia,498,1277,41,175,0,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Lazio,2081,6421,198,943,243,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Liguria,728,1824,32,221,12,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Lombardia,3044,10457,235,1810,0,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Marche,347,1027,61,256,49,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Molise,38,176,3,39,26,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
P.A. Bolzano,119,500,12,100,20,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
P.A. Trento,154,517,25,90,0,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Piemonte,2081,6794,132,628,99,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Puglia,715,2898,62,503,0,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Sardegna,381,1602,32,204,16,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Sicilia,1480,3832,140,858,0,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Toscana,1374,5033,104,570,8,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Umbria,215,662,10,86,41,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Valle d'Aosta,65,163,6,34,0,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Veneto,1522,6000,150,1000,0,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
Italia,19873,65418,1549,9680,542,Dati della Protezione Civile del 01 Febbraio 2022 ore 19:27
