Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,623,25445,17032,1304,748,4%,676,52,"0,60%",72,"5,51","1,40%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Basilicata,329,7218,5867,1053,176,3%,154,28,"-3,80%",22,"3,95","15,80%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Calabria,335,14859,10264,533,468,5%,425,22,"-0,90%",43,"2,23","2,40%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Campania,2815,143010,102148,1765,2474,2%,2282,39,"0,40%",192,"3,32","-4,50%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Emilia-Romagna,2130,112700,72526,1624,3012,4%,2763,62,"1,50%",249,"5,57","2,50%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Friuli Venezia Giulia,696,26285,13536,1117,642,5%,588,49,"4,80%",54,"4,46","0,00%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Lazio,2102,109592,86565,1476,3697,4%,3348,57,"-0,40%",349,"5,95","1,20%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Liguria,460,49381,14055,911,1238,9%,1115,72,"-5,40%",123,"7,97","1,70%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Lombardia,5173,386958,138029,1366,9056,7%,8114,80,"-2,90%",942,"9,32","1,10%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Marche,448,27554,16031,1056,672,4%,578,38,"4,10%",94,"6,19","5,60%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Molise,106,4177,2550,844,76,3%,66,22,"8,20%",10,"3,31","0,00%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
P.A. Bolzano,341,21961,11600,2180,483,4%,442,83,"-3,70%",41,"7,71","2,50%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
P.A. Trento,179,14547,2447,451,462,19%,421,78,"-3,40%",41,"7,55","-2,40%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Piemonte,2878,156253,77921,1795,5498,7%,5095,117,"-0,40%",403,"9,28","-0,20%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Puglia,1511,47565,34071,850,1693,5%,1483,37,"-0,10%",210,"5,24","2,40%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Sardegna,351,19639,12697,779,591,5%,515,32,"-2,30%",76,"4,66","4,10%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Sicilia,1317,57001,38320,771,1824,5%,1574,32,"-1,70%",250,"5,03","2,90%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Toscana,986,97976,49280,1324,2040,4%,1754,47,"-1,00%",286,"7,68","-3,40%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Umbria,386,22478,9937,1129,431,4%,361,41,"-1,90%",70,"7,95","-2,80%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Valle d'Aosta,27,6199,1683,1341,153,9%,137,109,"-4,20%",16,"12,75","14,30%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Veneto,2660,130076,75138,1531,2727,4%,2422,49,"3,70%",305,"6,21","1,70%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
Italia,25853,1480874,791697,1314,38161,5%,34313,57,"-0,80%",3848,"6,39","0,80%",Dati della Protezione Civile del 25 Novembre 2020 ore 20:26
