Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,435,1491,38,189,0,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Basilicata,83,434,5,88,13,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Calabria,233,916,18,152,25,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Campania,1359,4519,104,620,36,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Emilia-Romagna,2643,6126,231,757,0,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Friuli Venezia Giulia,647,1277,63,175,0,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Lazio,2752,6421,305,943,194,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Liguria,664,1709,63,218,12,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Lombardia,3352,11698,487,1241,289,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Marche,479,1163,61,216,40,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Molise,46,221,11,34,0,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
P.A. Bolzano,159,460,27,77,2,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
P.A. Trento,362,604,39,90,15,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Piemonte,2784,5824,184,628,99,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Puglia,1476,3474,137,458,84,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Sardegna,479,1694,42,180,27,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Sicilia,1073,4164,176,799,196,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Toscana,810,5033,143,562,3,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Umbria,254,765,46,130,2,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Valle d'Aosta,75,175,1,20,12,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Veneto,2657,6000,372,1000,0,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
Italia,22822,64168,2553,8577,1049,Dati della Protezione Civile del 01 Gennaio 2021 ore 18:54
