Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,671,1495,85,215,0,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Basilicata,162,426,13,88,13,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Calabria,311,917,32,152,25,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Campania,1613,4219,173,620,36,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Emilia-Romagna,3566,6490,396,760,0,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Friuli Venezia Giulia,596,1277,81,175,0,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Lazio,2583,6421,321,943,193,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Liguria,586,1789,59,222,12,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Lombardia,6926,13397,806,1416,114,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Marche,761,1179,146,240,30,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Molise,100,221,16,39,0,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
P.A. Bolzano,123,499,30,100,0,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
P.A. Trento,214,594,52,90,15,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Piemonte,3455,5824,346,628,99,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Puglia,1683,3657,212,569,80,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Sardegna,178,1602,21,208,35,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Sicilia,751,3879,125,834,196,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Toscana,1408,5033,245,601,18,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Umbria,366,860,72,139,2,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Valle d'Aosta,22,227,2,20,12,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Veneto,1409,6000,215,1000,0,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
Italia,27484,66006,3448,9059,880,Dati della Protezione Civile del 21 Marzo 2021 ore 18:50
