Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,64,33534,12666,970,598,5%,555,43,-0.4&,43,3.29,2.4%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Basilicata,25,10054,5965,1071,99,2%,91,16,-2.2&,8,1.44,-11.1%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Calabria,110,21261,8321,432,322,4%,300,16,4.5&,22,1.14,0%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Campania,691,181259,83532,1444,1691,2%,1571,27,1.1&,120,2.07,0.8%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Emilia-Romagna,1594,157185,62054,1389,3117,5%,2914,65,2.2&,203,4.54,1%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Friuli Venezia Giulia,244,45435,13247,1094,663,5%,607,50,0.8&,56,4.62,1.8%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Lazio,1205,150223,76492,1304,3027,4%,2720,46,-2.3&,307,5.23,0.3%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Liguria,177,57754,6588,427,758,12%,688,45,-1&,70,4.54,0%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Lombardia,950,460168,61314,607,4793,8%,4232,42,-2.5&,561,5.55,-3.8%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Marche,162,37431,9597,632,486,5%,423,28,1.7&,63,4.15,-1.6%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Molise,98,6132,2797,925,68,2%,59,20,1.7&,9,2.98,-18.2%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
P.A. Bolzano,43,28165,9347,1757,201,2%,179,34,5.3&,22,4.13,10%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
P.A. Trento,59,20154,2072,382,431,21%,382,70,0.3&,49,9.03,0%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Piemonte,611,189968,37957,874,3639,10%,3409,79,0.6&,230,5.3,4.1%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Puglia,788,81387,53574,1337,1595,3%,1431,36,-0.3&,164,4.09,-3%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Sardegna,297,28683,15959,979,590,4%,542,33,-1.1&,48,2.94,-4%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Sicilia,669,85198,33903,682,1267,4%,1086,22,0.9&,181,3.64,1.7%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Toscana,452,116235,12396,333,1150,9%,965,26,0.2&,185,4.97,-1.1%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Umbria,41,27282,3853,438,299,8%,258,29,2.8&,41,4.66,-6.8%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Valle d'Aosta,9,7040,474,378,88,19%,84,67,7.7&,4,3.19,0%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Veneto,2583,219506,101474,2068,2994,3%,2649,54,0.8&,345,7.03,1.8%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
Italia,10872,1964054,613582,1018,27876,5%,25145,42,-0.1&,2731,4.53,-0.4%,Dati della Protezione Civile del 21 Dicembre 2020 ore 19:00
