Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,534,1491,41,189,0,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Basilicata,93,432,8,88,13,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Calabria,292,930,23,152,25,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Campania,1529,4552,118,620,36,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Emilia-Romagna,2891,5594,210,757,0,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Friuli Venezia Giulia,598,1277,57,175,0,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Lazio,2720,6421,292,943,194,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Liguria,700,1644,65,219,12,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Lombardia,4290,13233,540,1273,257,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Marche,421,1161,61,210,44,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Molise,56,221,8,34,0,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
P.A. Bolzano,176,499,23,77,2,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
P.A. Trento,364,604,49,90,15,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Piemonte,3331,5824,228,628,99,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Puglia,1421,3458,167,456,84,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Sardegna,526,1653,48,180,27,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Sicilia,1059,4082,176,804,196,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Toscana,941,5033,175,576,3,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Umbria,244,776,44,130,2,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Valle d'Aosta,90,176,5,33,4,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Veneto,2672,6000,349,1000,0,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
Italia,24948,65061,2687,8634,1013,Dati della Protezione Civile del 22 Dicembre 2020 ore 20:38
