Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,177,1382,9,181,0,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Basilicata,38,358,0,79,14,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Calabria,180,971,7,177,0,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Campania,339,3890,16,575,0,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Emilia-Romagna,1142,9001,31,889,0,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Friuli Venezia Giulia,173,1277,3,175,0,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Lazio,655,6421,39,943,243,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Liguria,291,1606,8,218,12,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Lombardia,753,10457,22,1810,0,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Marche,98,983,4,230,50,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Molise,20,176,2,39,26,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
P.A. Bolzano,32,500,0,100,20,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
P.A. Trento,74,517,1,90,0,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Piemonte,314,6794,8,628,99,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Puglia,286,2751,16,405,0,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Sardegna,115,1602,11,204,16,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Sicilia,527,3635,30,783,0,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Toscana,324,5033,15,570,13,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Umbria,153,662,2,86,41,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Valle d'Aosta,9,85,0,13,21,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Veneto,470,6000,15,1000,0,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
Italia,6170,64101,239,9195,555,Dati della Protezione Civile del 24 Agosto 2022 ore 17:14
