Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,281,1369,28,185,0,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Basilicata,149,452,7,88,13,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Calabria,411,998,36,156,25,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Campania,1382,4304,122,620,36,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Emilia-Romagna,1365,6538,189,760,0,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Friuli Venezia Giulia,157,1277,21,175,0,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Lazio,1868,6421,273,943,193,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Liguria,390,1832,53,226,12,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Lombardia,2850,10247,490,1416,114,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Marche,342,1215,61,210,54,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Molise,26,221,4,39,0,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
P.A. Bolzano,27,442,6,100,0,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
P.A. Trento,62,517,18,90,15,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Piemonte,1726,5824,166,628,99,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Puglia,1471,3768,188,586,0,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Sardegna,310,1602,39,216,33,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Sicilia,995,3861,140,846,196,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Toscana,1108,5033,214,603,16,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Umbria,137,665,19,116,0,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Valle d'Aosta,25,227,9,30,6,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Veneto,717,6000,128,1000,0,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
Italia,15799,62813,2211,9033,812,Dati della Protezione Civile del 08 Maggio 2021 ore 19:06
