Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,375,1324,38,181,14,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Basilicata,87,351,2,79,14,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Calabria,418,1041,35,189,8,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Campania,1246,4536,88,699,21,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Emilia-Romagna,2334,9001,152,889,0,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Friuli Venezia Giulia,368,1277,40,175,0,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Lazio,1734,6421,204,943,243,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Liguria,687,1827,44,220,12,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Lombardia,3503,10457,258,1530,0,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Marche,263,1010,65,256,49,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Molise,22,176,2,39,26,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
P.A. Bolzano,88,500,18,100,20,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
P.A. Trento,127,517,21,90,0,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Piemonte,1938,6794,146,628,99,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Puglia,559,2846,55,497,0,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Sardegna,224,1602,28,204,16,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Sicilia,1331,3839,157,843,0,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Toscana,1226,5033,123,570,12,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Umbria,224,662,12,86,41,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Valle d'Aosta,67,99,8,33,0,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Veneto,1549,6000,181,1000,0,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
Italia,18370,65313,1677,9251,575,Dati della Protezione Civile del 15 Gennaio 2022 ore 22:30
