Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,595,1533,78,204,8,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Basilicata,79,420,5,88,13,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Calabria,181,913,19,152,25,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Campania,1327,4144,132,620,36,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Emilia-Romagna,2043,6126,196,757,0,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Friuli Venezia Giulia,353,1277,57,175,0,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Lazio,1850,6421,229,943,193,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Liguria,498,1775,53,216,18,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Lombardia,3917,10413,408,1248,282,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Marche,555,1176,78,233,40,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Molise,106,221,15,39,0,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
P.A. Bolzano,259,549,33,100,0,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
P.A. Trento,174,584,32,90,15,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Piemonte,1919,5824,145,628,99,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Puglia,1265,3622,164,569,80,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Sardegna,247,1602,24,208,35,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Sicilia,818,3952,135,834,196,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Toscana,824,5033,159,570,14,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Umbria,473,851,79,141,2,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Valle d'Aosta,6,227,0,20,12,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Veneto,806,6000,105,1000,0,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
Italia,18295,62663,2146,8835,1068,Dati della Protezione Civile del 23 Febbraio 2021 ore 20:15
