Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,112,1382,4,181,0,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Basilicata,44,360,1,79,14,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Calabria,156,978,5,183,0,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Campania,368,3939,20,573,0,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Emilia-Romagna,816,9001,30,889,0,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Friuli Venezia Giulia,136,1277,8,175,0,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Lazio,554,6421,54,943,243,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Liguria,161,1635,2,218,12,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Lombardia,715,10457,15,1810,0,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Marche,78,983,3,230,49,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Molise,8,176,2,39,26,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
P.A. Bolzano,58,500,1,100,20,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
P.A. Trento,33,517,0,90,0,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Piemonte,263,6794,10,628,99,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Puglia,259,2729,10,405,0,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Sardegna,98,1602,7,204,16,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Sicilia,685,3600,25,787,0,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Toscana,309,5033,11,570,19,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Umbria,128,662,2,86,41,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Valle d'Aosta,10,85,0,13,21,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Veneto,351,6000,15,1000,0,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
Italia,5342,64131,225,9203,560,Dati della Protezione Civile del 25 Giugno 2022 ore 23:45
