Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,80,1324,6,177,23,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Basilicata,45,360,4,88,13,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Calabria,179,963,16,174,3,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Campania,353,3849,23,555,189,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Emilia-Romagna,403,7920,45,889,0,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Friuli Venezia Giulia,51,1277,12,175,0,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Lazio,466,6421,64,943,0,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Liguria,69,1695,8,218,12,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Lombardia,386,6369,55,1530,0,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Marche,60,971,20,212,61,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Molise,13,176,0,39,26,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
P.A. Bolzano,21,500,8,100,20,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
P.A. Trento,19,517,0,90,0,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Piemonte,176,5824,23,628,99,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Puglia,213,2741,26,482,0,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Sardegna,226,1602,28,204,16,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Sicilia,823,3674,116,881,0,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Toscana,392,5033,56,570,35,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Umbria,53,684,6,91,36,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Valle d'Aosta,1,83,0,33,0,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Veneto,206,6000,48,1000,0,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
Italia,4235,57983,564,9079,533,Dati della Protezione Civile del 08 Settembre 2021 ore 17:32
