Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,621,1495,79,215,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Basilicata,156,423,15,88,13,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Calabria,331,911,34,152,25,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Campania,1576,4221,184,620,36,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Emilia-Romagna,3557,6505,402,760,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Friuli Venezia Giulia,645,1277,78,175,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Lazio,2763,6421,355,943,193,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Liguria,589,1785,65,222,12,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Lombardia,7132,13549,845,1416,114,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Marche,804,1360,157,250,16,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Molise,87,221,16,39,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
P.A. Bolzano,106,488,31,100,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
P.A. Trento,203,594,45,90,15,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Piemonte,3677,5824,357,628,99,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Puglia,1762,3718,231,569,80,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Sardegna,173,1602,27,208,35,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Sicilia,813,3879,118,834,196,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Toscana,1470,5033,257,618,19,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Umbria,375,860,63,139,2,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Valle d'Aosta,28,227,5,20,12,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Veneto,1556,6000,256,1000,0,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
Italia,28424,66393,3620,9086,867,Dati della Protezione Civile del 25 Marzo 2021 ore 18:50
