Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,69,1369,4,185,23,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Basilicata,42,452,0,88,13,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Calabria,149,923,9,156,25,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Campania,410,4056,29,583,73,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Emilia-Romagna,288,6538,62,760,0,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Friuli Venezia Giulia,8,1277,4,175,0,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Lazio,450,6421,98,943,193,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Liguria,59,1709,12,214,12,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Lombardia,628,7356,114,1416,114,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Marche,52,1087,9,210,57,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Molise,8,221,0,39,0,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
P.A. Bolzano,13,431,2,100,0,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
P.A. Trento,13,517,4,60,15,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Piemonte,317,5824,47,628,99,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Puglia,263,3434,21,549,0,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Sardegna,87,1602,5,216,33,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Sicilia,310,3287,47,696,196,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Toscana,195,5033,66,474,26,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Umbria,44,671,4,97,30,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Valle d'Aosta,3,205,0,30,6,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Veneto,134,6000,28,1000,0,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
Italia,3542,58413,565,8619,915,Dati della Protezione Civile del 13 Giugno 2021 ore 18:46
