Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,235,1382,6,181,0,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Basilicata,53,395,1,79,13,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Calabria,180,984,9,194,0,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Campania,434,4017,25,585,0,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Emilia-Romagna,938,9001,26,889,0,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Friuli Venezia Giulia,107,1277,2,175,0,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Lazio,634,6421,39,943,243,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Liguria,163,1643,8,218,12,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Lombardia,779,10457,34,1810,0,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Marche,104,988,3,230,49,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Molise,12,176,3,39,26,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
P.A. Bolzano,36,500,1,100,20,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
P.A. Trento,37,517,4,90,0,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Piemonte,370,6794,17,628,99,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Puglia,332,2903,17,503,0,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Sardegna,170,1602,11,204,16,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Sicilia,577,3629,27,809,0,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Toscana,328,5033,15,570,8,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Umbria,131,662,2,86,41,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Valle d'Aosta,19,163,1,34,0,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Veneto,330,6000,20,1000,0,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
Italia,5969,64544,271,9367,527,Dati della Protezione Civile del 25 Maggio 2022 ore 23:45
