Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,55,1324,5,177,23,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Basilicata,35,364,2,88,13,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Calabria,146,964,16,174,3,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Campania,224,3511,21,555,189,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Emilia-Romagna,374,7920,46,889,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Friuli Venezia Giulia,42,1277,7,175,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Lazio,382,6421,59,943,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Liguria,51,1696,6,217,12,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Lombardia,380,6369,57,1530,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Marche,57,971,18,212,60,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Molise,1,176,1,39,26,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
P.A. Bolzano,24,500,8,100,20,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
P.A. Trento,19,517,4,90,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Piemonte,184,5824,21,628,99,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Puglia,144,2741,16,482,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Sardegna,127,1602,10,204,16,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Sicilia,482,3737,63,892,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Toscana,238,5033,33,570,38,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Umbria,42,662,3,84,43,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Veneto,189,6000,44,1000,0,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
Italia,3198,57692,440,9082,542,Dati della Protezione Civile del 30 Settembre 2021 ore 19:34
