Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,442,1476,43,189,0,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Basilicata,80,416,6,88,13,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Calabria,297,911,26,152,25,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Campania,1440,4462,100,620,36,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Emilia-Romagna,2456,6126,218,757,0,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Friuli Venezia Giulia,680,1277,59,175,0,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Lazio,2653,6421,280,943,193,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Liguria,635,1758,62,216,12,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Lombardia,3644,11047,411,1210,320,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Marche,555,1176,83,222,40,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Molise,56,221,8,36,0,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
P.A. Bolzano,226,538,28,77,23,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
P.A. Trento,236,604,43,90,15,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Piemonte,2419,5824,159,628,99,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Puglia,1346,3440,151,460,80,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Sardegna,466,1659,51,172,35,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Sicilia,1436,4161,221,822,196,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Toscana,659,5033,116,567,4,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Umbria,286,765,46,130,2,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Valle d'Aosta,42,227,2,20,12,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Veneto,1991,6000,305,1000,0,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
Italia,22045,63542,2418,8574,1105,Dati della Protezione Civile del 21 Gennaio 2021 ore 19:15
