Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,129,1382,5,181,0,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Basilicata,34,358,1,79,14,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Calabria,164,960,5,177,0,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Campania,271,3878,8,575,0,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Emilia-Romagna,792,9001,30,889,0,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Friuli Venezia Giulia,137,1277,2,175,0,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Lazio,503,6421,37,943,243,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Liguria,170,1604,1,218,12,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Lombardia,569,10457,14,1810,0,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Marche,76,983,3,230,50,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Molise,7,176,2,39,26,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
P.A. Bolzano,21,500,1,100,20,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
P.A. Trento,58,517,2,90,0,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Piemonte,255,6794,9,628,99,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Puglia,193,2735,8,405,0,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Sardegna,84,1602,6,204,16,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Sicilia,315,3517,27,794,0,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Toscana,230,5033,6,570,13,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Umbria,126,662,0,86,41,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Valle d'Aosta,2,67,0,13,21,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Veneto,323,6000,18,1000,0,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
Italia,4459,63924,185,9206,555,Dati della Protezione Civile del 06 Settembre 2022 ore 23:45
