Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,221,40564,10411,797,468,4%,427,33,-3.2&,41,3.14,2.5%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Basilicata,59,12794,6926,1244,93,1%,89,16,7.2&,4,0.72,-20%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Calabria,402,30861,10340,537,299,3%,275,14,-1.1&,24,1.25,0%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Campania,1150,212953,62453,1079,1551,2%,1437,25,-0.1&,114,1.97,9.6%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Emilia-Romagna,1310,209235,50732,1136,2607,5%,2390,54,-0.5&,217,4.86,-1.4%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Friuli Venezia Giulia,679,63833,11898,982,735,6%,672,55,0.4&,63,5.2,3.3%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Lazio,1297,196637,70266,1198,2859,4%,2576,44,-3.6&,283,4.82,-2.1%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Liguria,298,67400,4570,296,656,14%,591,38,-3.9&,65,4.21,6.6%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Lombardia,1535,523899,52468,519,3897,7%,3499,35,-2.2&,398,3.94,-2.5%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Marche,397,52378,8411,554,626,7%,549,36,-1.1&,77,5.07,-2.5%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Molise,48,7797,1048,347,58,6%,50,17,-5.7&,8,2.65,0%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
P.A. Bolzano,552,36189,13386,2516,243,2%,219,41,-3.5&,24,4.51,0%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
P.A. Trento,193,26086,2047,377,246,12%,203,37,-7.3&,43,7.92,4.9%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Piemonte,931,217058,13455,310,2493,19%,2337,54,-0.2&,156,3.59,2.6%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Puglia,1023,115156,54615,1363,1540,3%,1381,34,4.1&,159,3.97,3.9%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Sardegna,191,36876,17023,1044,503,3%,457,28,1.8&,46,2.82,-11.5%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Sicilia,1158,128877,47627,959,1667,4%,1444,29,0.2&,223,4.49,0.5%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Toscana,520,130333,8261,222,736,9%,629,17,-2&,107,2.87,-2.7%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Umbria,332,33822,5029,571,338,7%,292,33,3.2&,46,5.23,4.5%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Valle d'Aosta,5,7720,327,261,45,14%,43,34,7.5&,2,1.59,0%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Veneto,1030,304717,47541,969,2129,4%,1843,38,-4.8&,286,5.83,-1.7%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
Italia,13331,2455185,498834,828,23789,5%,21403,36,-1.3&,2386,3.96,-0.2%,Dati della Protezione Civile del 23 Gennaio 2021 ore 20:06
