Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,70,1324,7,177,23,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Basilicata,46,364,4,88,13,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Calabria,177,964,14,174,3,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Campania,330,3511,24,555,189,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Emilia-Romagna,427,7920,44,889,0,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Friuli Venezia Giulia,48,1277,9,175,0,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Lazio,433,6421,56,943,0,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Liguria,82,1676,7,218,12,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Lombardia,437,6369,57,1530,0,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Marche,54,971,27,212,61,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Molise,7,176,2,39,26,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
P.A. Bolzano,20,500,6,100,20,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
P.A. Trento,19,517,1,90,0,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Piemonte,194,5824,24,628,99,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Puglia,184,2741,20,482,0,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Sardegna,186,1602,21,204,16,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Sicilia,697,3852,99,890,0,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Toscana,348,5033,50,570,35,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Umbria,43,684,6,91,36,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Veneto,214,6000,53,1000,0,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
Italia,4018,57809,531,9088,533,Dati della Protezione Civile del 16 Settembre 2021 ore 18:13
