Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,536,24822,16656,1276,743,4%,672,51,"0,00%",71,"5,44","0,00%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Basilicata,261,6889,5591,1004,179,3%,160,29,"1,90%",19,"3,41","-17,40%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Calabria,307,14524,10135,527,471,5%,429,22,"-1,40%",42,"2,18","-10,60%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Campania,1764,140195,102851,1778,2475,2%,2274,39,"-2,40%",201,"3,47","0,00%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Emilia-Romagna,2501,110571,71344,1597,2966,4%,2723,61,"-0,50%",243,"5,44","-2,00%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Friuli Venezia Giulia,554,25589,13347,1102,615,5%,561,46,"-0,70%",54,"4,46","-1,80%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Lazio,2509,107490,85796,1463,3706,4%,3361,57,"0,30%",345,"5,88","3,00%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Liguria,509,48921,14783,958,1300,9%,1179,76,"-5,50%",121,"7,84","-0,80%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Lombardia,4886,381785,148760,1472,9292,6%,8360,83,"0,30%",932,"9,22","-1,40%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Marche,351,27106,15717,1035,644,4%,555,37,"0,90%",89,"5,86","-1,10%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Molise,71,4071,2459,814,71,3%,61,20,"7,00%",10,"3,31","0,00%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
P.A. Bolzano,160,21620,11656,2191,499,4%,459,86,"-3,00%",40,"7,52","5,30%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
P.A. Trento,143,14368,2472,455,478,19%,436,80,"0,70%",42,"7,74","-2,30%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Piemonte,2070,153375,77075,1775,5520,7%,5116,118,"0,10%",404,"9,31","1,30%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Puglia,1567,46054,32959,822,1690,5%,1485,37,"-0,90%",205,"5,11","7,30%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Sardegna,290,19288,12562,770,600,5%,527,32,"2,90%",73,"4,48","1,40%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Sicilia,1306,55684,38199,769,1844,5%,1601,32,"-0,20%",243,"4,89","0,00%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Toscana,962,96990,50706,1362,2067,4%,1771,48,"-3,30%",296,"7,95","0,00%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Umbria,218,22092,10197,1158,440,4%,368,42,"-0,80%",72,"8,18","-7,70%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Valle d'Aosta,73,6172,1767,1408,157,9%,143,114,"-2,10%",14,"11,16","7,70%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Veneto,2194,127416,73354,1495,2636,4%,2336,48,"2,50%",300,"6,11","3,40%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
Italia,23232,1455022,798386,1325,38393,5%,34577,57,"-0,30%",3816,"6,33","0,20%",Dati della Protezione Civile del 24 Novembre 2020 ore 18:58
