Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,635,1495,82,215,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Basilicata,148,423,14,88,13,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Calabria,326,911,33,152,25,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Campania,1587,4221,179,620,36,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Emilia-Romagna,3614,6505,397,760,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Friuli Venezia Giulia,634,1277,80,175,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Lazio,2724,6421,350,943,193,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Liguria,597,1789,63,222,12,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Lombardia,7178,13524,845,1416,114,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Marche,803,1360,156,250,16,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Molise,89,221,17,39,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
P.A. Bolzano,115,488,31,100,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
P.A. Trento,208,594,47,90,15,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Piemonte,3608,5824,354,628,99,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Puglia,1761,3716,227,569,80,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Sardegna,173,1602,26,208,35,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Sicilia,812,3879,119,834,196,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Toscana,1488,5033,253,618,19,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Umbria,382,860,66,139,2,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Valle d'Aosta,27,227,3,20,12,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Veneto,1529,6000,246,1000,0,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
Italia,28438,66370,3588,9086,867,Dati della Protezione Civile del 24 Marzo 2021 ore 18:20
