Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,216,1324,23,181,14,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Basilicata,70,358,3,79,14,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Calabria,335,1055,29,189,9,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Campania,781,4204,57,671,41,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Emilia-Romagna,1579,9001,135,889,0,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Friuli Venezia Giulia,306,1277,28,175,0,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Lazio,1282,6421,163,943,243,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Liguria,548,1763,45,219,12,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Lombardia,2312,10457,234,1530,0,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Marche,235,1007,53,252,53,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Molise,21,176,2,39,26,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
P.A. Bolzano,84,500,19,100,20,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
P.A. Trento,100,517,22,90,0,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Piemonte,1411,5824,117,628,99,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Puglia,334,2704,36,493,0,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Sardegna,148,1602,19,204,16,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Sicilia,893,3674,114,852,0,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Toscana,822,5033,85,570,24,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Umbria,177,662,10,86,41,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Valle d'Aosta,47,99,4,33,0,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Veneto,1211,6000,194,1000,0,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
Italia,12912,63658,1392,9223,612,Dati della Protezione Civile del 04 Gennaio 2022 ore 19:04
