Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,338,1324,35,181,14,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Basilicata,73,356,1,79,14,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Calabria,394,1037,38,189,8,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Campania,1126,4399,79,699,25,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Emilia-Romagna,2187,9001,148,889,0,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Friuli Venezia Giulia,351,1277,40,175,0,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Lazio,1629,6421,202,943,243,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Liguria,687,1814,40,220,12,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Lombardia,3317,10457,253,1530,0,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Marche,268,1010,58,256,49,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Molise,22,176,2,39,26,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
P.A. Bolzano,73,500,17,100,20,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
P.A. Trento,130,517,27,90,0,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Piemonte,1934,5824,147,628,99,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Puglia,490,2776,51,493,0,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Sardegna,215,1602,27,204,16,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Sicilia,1276,3854,165,840,0,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Toscana,1153,5033,123,570,10,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Umbria,208,662,14,86,41,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Valle d'Aosta,51,99,5,33,0,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Veneto,1387,6000,197,1000,0,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
Italia,17309,64139,1669,9244,577,Dati della Protezione Civile del 12 Gennaio 2022 ore 18:50
