Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,506,92.032,6.083,473,140,2%,124,10,250%,16,124,2310%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Basilicata,125,32.657,1.623,296,31,2%,30,5,2000%,1,018,000%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Calabria,929,99.068,7.559,403,224,3%,204,11,100%,20,107,1110%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Campania,1.770,510.980,23.031,405,421,2%,395,7,000%,26,046,400%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Emilia-Romagna,2.077,482.219,37.126,835,1.096,3%,990,22,-090%,106,238,710%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Friuli Venezia Giulia,914,141.587,8.134,679,321,4%,289,24,-270%,32,267,670%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Lazio,2.652,450.814,33.473,585,916,3%,805,14,-250%,111,194,000%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Liguria,1.011,131.521,7.348,487,346,5%,315,21,500%,31,205,1070%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Lombardia,5.304,980.755,55.928,561,1.331,2%,1.185,12,-030%,146,146,070%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Marche,753,131.349,6.390,426,186,3%,151,10,710%,35,233,-280%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Molise,10,15.428,194,65,11,6%,7,2,-1250%,4,135,000%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
P.A. Bolzano,442,95.340,6.470,1.212,98,2%,80,15,-1010%,18,337,000%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
P.A. Trento,266,55.391,2.930,538,110,4%,91,17,-520%,19,349,000%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Piemonte,2.197,420.852,21.724,508,677,3%,624,15,180%,53,124,390%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Puglia,596,285.319,6.114,156,153,3%,126,3,-380%,27,069,1250%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Sardegna,294,81.604,3.631,227,125,3%,118,7,830%,7,044,-1250%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Sicilia,1.346,338.395,18.193,376,512,3%,460,10,240%,52,107,830%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Toscana,1.222,313.465,14.400,393,371,3%,319,9,-120%,52,142,830%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Umbria,260,70.079,2.869,332,57,2%,48,6,000%,9,104,1250%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Valle d'Aosta,52,14.060,772,623,20,3%,18,15,-530%,2,161,10000%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Veneto,3.383,565.265,53.938,1.112,1.109,2%,959,20,320%,150,309,1110%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
Italia,26.109,5.308.180,317.930,537,8.255,3%,7.338,12,040%,917,155,540%,Dati della Protezione Civile del 16 Dicembre 2021 ore 18:35
