Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,66,1324,5,177,23,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Basilicata,50,364,3,88,13,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Calabria,168,964,14,174,3,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Campania,282,3511,14,555,189,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Emilia-Romagna,387,7920,49,889,0,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Friuli Venezia Giulia,46,1277,11,175,0,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Lazio,403,6421,53,943,0,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Liguria,73,1682,5,217,12,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Lombardia,412,6369,61,1530,0,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Marche,59,971,21,212,58,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Molise,4,176,2,39,26,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
P.A. Bolzano,21,500,9,100,20,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
P.A. Trento,18,517,3,90,0,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Piemonte,176,5824,23,628,99,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Puglia,176,2741,22,482,0,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Sardegna,169,1602,19,204,16,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Sicilia,574,3726,82,885,0,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Toscana,306,5033,51,570,35,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Umbria,43,662,5,84,43,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Valle d'Aosta,2,83,0,33,0,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Veneto,215,6000,53,1000,0,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
Italia,3650,57667,505,9075,537,Dati della Protezione Civile del 23 Settembre 2021 ore 18:12
