Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,430,1382,15,181,14,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Basilicata,109,367,1,79,14,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Calabria,344,1118,27,202,0,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Campania,982,4476,58,812,0,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Emilia-Romagna,1704,9001,99,889,0,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Friuli Venezia Giulia,301,1277,18,175,0,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Lazio,1665,6421,138,943,243,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Liguria,458,1821,24,221,12,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Lombardia,1272,10457,137,1810,0,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Marche,263,1025,31,256,49,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Molise,27,176,4,39,26,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
P.A. Bolzano,81,500,2,100,20,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
P.A. Trento,72,517,7,90,0,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Piemonte,1175,6794,48,628,99,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Puglia,727,2923,53,503,0,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Sardegna,364,1602,27,204,16,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Sicilia,1169,3794,85,858,0,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Toscana,967,5033,55,570,8,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Umbria,164,662,8,86,41,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Valle d'Aosta,31,163,4,34,0,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Veneto,771,6000,55,1000,0,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
Italia,13076,65509,896,9680,542,Dati della Protezione Civile del 22 Febbraio 2022 ore 18:37
