Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,199,1369,22,185,0,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Basilicata,107,448,9,88,13,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Calabria,361,987,21,156,25,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Campania,1174,4304,99,620,36,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Emilia-Romagna,1042,6538,157,760,0,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Friuli Venezia Giulia,72,1277,16,175,0,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Lazio,1548,6421,236,943,193,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Liguria,280,1815,51,226,12,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Lombardia,2053,9479,382,1416,114,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Marche,256,1230,47,210,54,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Molise,18,221,4,39,0,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
P.A. Bolzano,18,399,6,100,0,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
P.A. Trento,48,517,17,90,15,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Piemonte,1250,5824,138,628,99,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Puglia,1124,3768,127,586,0,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Sardegna,212,1602,39,216,33,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Sicilia,812,3848,118,844,196,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Toscana,842,5033,175,585,16,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Umbria,124,662,16,116,0,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Valle d'Aosta,22,227,4,30,6,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Veneto,572,6000,95,1000,0,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
Italia,12134,61969,1779,9013,812,Dati della Protezione Civile del 16 Maggio 2021 ore 18:18
