Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,389,1476,40,189,0,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Basilicata,71,413,4,88,13,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Calabria,274,913,20,152,25,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Campania,1425,4449,95,620,36,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Emilia-Romagna,2172,6126,209,757,0,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Friuli Venezia Giulia,605,1359,59,175,0,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Lazio,2438,6421,289,943,193,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Liguria,591,1740,64,216,12,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Lombardia,3490,10667,379,1200,330,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Marche,540,1175,73,233,40,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Molise,53,221,8,36,0,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
P.A. Bolzano,219,561,30,100,0,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
P.A. Trento,187,604,34,90,15,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Piemonte,2163,5824,150,628,99,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Puglia,1401,3459,168,460,80,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Sardegna,453,1602,40,202,35,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Sicilia,1373,4161,211,830,196,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Toscana,659,5033,100,562,4,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Umbria,349,782,53,130,2,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Valle d'Aosta,36,227,4,20,12,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Veneto,1509,6000,240,1000,0,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
Italia,20397,63213,2270,8631,1092,Dati della Protezione Civile del 29 Gennaio 2021 ore 19:12
