Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,124,1324,10,181,14,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Basilicata,19,364,1,79,13,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Calabria,164,979,20,181,3,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Campania,348,3528,25,520,219,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Emilia-Romagna,892,8336,89,889,0,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Friuli Venezia Giulia,297,1277,25,175,0,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Lazio,777,6421,114,943,243,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Liguria,231,1701,28,221,12,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Lombardia,1084,7945,136,1530,0,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Marche,112,966,31,250,55,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Molise,12,176,1,39,26,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
P.A. Bolzano,96,500,18,100,20,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
P.A. Trento,77,517,15,90,0,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Piemonte,463,5824,44,628,99,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Puglia,136,2722,18,482,0,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Sardegna,93,1602,9,204,16,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Sicilia,339,3578,48,865,0,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Toscana,278,5033,47,570,32,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Umbria,44,662,7,88,39,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Valle d'Aosta,24,99,1,33,0,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Veneto,723,6000,124,1000,0,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
Italia,6333,59554,811,9068,791,Dati della Protezione Civile del 09 Dicembre 2021 ore 18:45
