Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte,data
Abruzzo,683,17774,11908,912,624,5%,567,43,"3,70%",57,"4,37","9,60%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Basilicata,307,4556,3600,646,164,5%,141,25,"5,20%",23,"4,13","21,10%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Calabria,297,9416,6677,347,365,5%,338,18,"13,40%",27,"1,40","28,60%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Campania,4079,104065,83220,1438,2336,3%,2153,37,"10,80%",183,"3,16","-4,70%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Emilia-Romagna,2384,83068,48156,1078,2389,5%,2164,48,"3,30%",225,"5,04","-1,30%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Friuli Venezia Giulia,831,17771,9151,755,413,5%,366,30,"5,80%",47,"3,88","0,00%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Lazio,2925,78665,62399,1064,3278,5%,3018,51,"2,20%",260,"4,43","0,40%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Liguria,1209,41464,14885,965,1482,10%,1372,89,"0,70%",110,"7,13","0,90%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Lombardia,10634,304591,151269,1497,8120,5%,7319,72,"3,90%",801,"7,93","2,40%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Marche,740,21830,12834,845,633,5%,559,37,"4,30%",74,"4,87","0,00%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Molise,63,2789,1879,622,62,3%,55,18,"0,00%",7,"2,32","0,00%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
P.A. Bolzano,820,15984,9714,1826,494,5%,453,85,"1,10%",41,"7,71","-2,40%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
P.A. Trento,202,12094,2920,538,383,13%,353,65,"4,40%",30,"5,53","0,00%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
Piemonte,5258,117312,66654,1535,5243,8%,4890,113,"1,20%",353,"8,13","1,40%",Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,2020-11-13
