Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte,name,rows,cols,id,classes
Abruzzo,567,1264,57,178,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Basilicata,141,429,23,91,19,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Calabria,338,813,27,146,15,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Campania,2153,4414,183,590,66,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Emilia-Romagna,2164,4199,225,661,30,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Friuli Venezia Giulia,366,1277,47,175,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Lazio,3018,6223,260,962,253,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Liguria,1372,1889,110,216,19,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Lombardia,7319,14651,801,1355,175,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Marche,559,963,74,164,37,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Molise,55,216,7,34,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
P.A. Bolzano,453,468,41,68,9,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
P.A. Trento,353,517,30,90,15,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Piemonte,4890,5442,353,627,100,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Puglia,1249,2867,158,437,76,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Sardegna,472,1416,57,172,33,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Sicilia,1450,4142,210,728,200,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Toscana,1656,4262,265,575,10,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Umbria,359,729,68,117,10,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Valle d'Aosta,149,189,15,37,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Veneto,1831,6000,219,1000,0,Dati della Protezione Civile del 13 Novembre 2020 ore 21:59,,,,,
Abruzzo,590,1252,66,178,0,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Basilicata,150,426,30,91,7,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Calabria,353,813,53,156,19,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Campania,2236,4722,201,590,66,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Emilia-Romagna,2451,5175,247,703,30,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Friuli Venezia Giulia,454,1277,44,175,0,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Lazio,3066,6223,308,962,253,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Liguria,1393,1895,117,221,15,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Lombardia,8151,15404,894,1390,140,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Marche,525,1016,78,174,72,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Molise,60,221,9,34,0,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
P.A. Bolzano,482,505,44,77,2,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
P.A. Trento,388,600,35,90,15,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Puglia,1316,3081,181,440,76,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Piemonte,5150,5612,384,628,99,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Sardegna,512,1543,64,175,31,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Sicilia,1505,4147,227,751,200,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Toscana,1792,4361,277,592,7,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Umbria,368,729,70,128,4,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Valle d'Aosta,152,209,17,37,0,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Veneto,1980,6000,266,1000,0,Dati della Protezione Civile del 17 Novembre 2020 ore 20:18,,,,,
Emilia-Romagna,2449,5253,244,703,30,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Friuli Venezia Giulia,470,1277,49,175,0,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Lazio,3056,6223,318,962,253,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Liguria,1371,1895,118,222,14,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Lombardia,8323,15362,903,1392,138,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Marche,527,1108,79,174,72,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Molise,58,221,7,34,0,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
P.A. Bolzano,481,509,39,77,2,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
P.A. Trento,398,600,38,90,15,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Piemonte,5208,5723,388,628,99,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Puglia,1320,3109,198,441,76,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Sardegna,505,1543,63,175,33,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Sicilia,1528,4143,240,752,200,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Toscana,1805,5033,282,596,7,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Umbria,368,729,74,128,4,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Valle d'Aosta,146,209,17,37,0,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Veneto,2079,6000,274,1000,0,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Abruzzo,621,1247,65,178,0,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Basilicata,144,426,28,92,15,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Calabria,388,807,46,139,36,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Campania,2259,4722,200,590,66,Dati della Protezione Civile del 18 Novembre 2020 ore 19:51,,,,,
Abruzzo,658,1337,74,181,0,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Basilicata,147,427,28,91,14,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Calabria,395,943,47,145,13,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Campania,2287,5189,194,925,66,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Emilia-Romagna,2489,5427,244,703,30,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Friuli Venezia Giulia,485,1277,48,175,0,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Lazio,3103,6223,329,962,253,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Liguria,1319,1890,119,222,14,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Lombardia,8291,15556,915,1407,123,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Marche,526,1172,78,182,72,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Molise,66,221,8,34,0,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
P.A. Bolzano,469,506,39,77,2,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
P.A. Trento,407,604,39,90,15,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Puglia,1324,3184,200,445,76,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Piemonte,5147,5723,390,628,99,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Sardegna,517,1543,67,175,33,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Sicilia,1532,4146,240,817,200,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Toscana,1814,5033,287,598,5,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Umbria,369,729,75,128,4,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Valle d'Aosta,144,209,12,37,0,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Veneto,2121,6000,279,1000,0,Dati della Protezione Civile del 19 Novembre 2020 ore 19:20,,,,,
Emilia-Romagna,2534,5526,244,713,30,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Friuli Venezia Giulia,505,1277,54,175,0,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Liguria,1290,1888,120,224,14,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Lombardia,8304,15653,930,1432,98,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Marche,542,1173,81,182,72,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Molise,52,221,8,34,0,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
P.A. Bolzano,468,506,38,77,2,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
P.A. Trento,417,604,38,90,15,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Piemonte,5225,5723,393,628,99,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Puglia,1408,3192,202,450,70,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Sardegna,526,1543,69,175,33,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Sicilia,1537,4178,242,831,200,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Toscana,1792,5033,295,604,5,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Umbria,363,729,71,128,4,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Valle d'Aosta,148,209,10,37,0,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Veneto,2170,6000,267,1000,0,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Abruzzo,661,1374,75,183,0,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Basilicata,154,443,27,91,15,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Calabria,415,823,46,151,25,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Campania,2244,5189,201,925,66,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Lazio,3202,6223,337,962,200,Dati della Protezione Civile del 20 Novembre 2020 ore 19:06,,,,,
Veneto,2200,6000,275,1000,0,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Abruzzo,676,1366,73,183,0,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Basilicata,157,443,24,91,15,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Calabria,426,823,45,151,25,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Campania,2260,5118,198,590,66,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Emilia-Romagna,2594,5526,241,713,30,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Friuli Venezia Giulia,509,1277,55,175,0,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Lazio,3257,6223,337,962,200,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Liguria,1241,1888,119,224,14,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Lombardia,8314,15697,936,1442,88,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Marche,544,1180,86,186,65,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Molise,51,221,9,34,0,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
P.A. Bolzano,450,535,39,77,2,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
P.A. Trento,413,604,40,90,15,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Piemonte,5150,5723,390,628,99,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Puglia,1432,3243,197,451,70,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Sardegna,504,1543,70,179,33,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Sicilia,1568,4248,242,835,200,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Toscana,1798,5033,296,606,3,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Umbria,370,729,75,128,4,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
Valle d'Aosta,149,209,11,37,0,Dati della Protezione Civile del 21 Novembre 2020 ore 19:28,,,,,
P.A. Trento,420,604,41,90,15,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Piemonte,5132,5723,398,628,99,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Puglia,1449,3243,188,452,70,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Sardegna,503,1543,70,179,33,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Sicilia,1597,4251,241,832,196,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Toscana,1785,5033,298,606,3,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Umbria,368,729,75,128,4,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Valle d'Aosta,144,209,14,37,0,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Veneto,2211,6000,281,1000,0,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Abruzzo,664,1366,72,183,0,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Basilicata,156,443,23,91,20,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Calabria,433,832,47,151,22,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Campania,2218,5118,201,590,66,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Emilia-Romagna,2666,5526,249,713,30,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Friuli Venezia Giulia,545,1277,56,175,0,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Lazio,3298,6223,339,962,200,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Liguria,1253,1888,122,224,14,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Lombardia,8391,15691,949,1449,81,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Marche,542,1181,88,190,65,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Molise,51,221,11,34,0,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
P.A. Bolzano,453,535,38,77,2,Dati della Protezione Civile del 22 Novembre 2020 ore 18:38,,,,,
Abruzzo,672,1345,71,183,0,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Basilicata,157,443,23,92,20,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Calabria,435,845,47,151,20,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Campania,2331,5268,201,590,66,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Emilia-Romagna,2738,5526,248,713,30,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Friuli Venezia Giulia,565,1277,55,175,0,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Lazio,3351,6401,335,962,194,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Liguria,1248,1888,122,228,12,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Lombardia,8331,15542,945,1448,82,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Marche,550,1181,90,190,65,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Molise,57,221,10,34,0,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
P.A. Bolzano,473,535,38,77,2,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
P.A. Trento,433,604,43,90,15,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Piemonte,5112,5824,399,628,99,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Puglia,1499,3261,191,452,70,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Sardegna,512,1543,72,179,33,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Sicilia,1604,4251,243,832,196,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Toscana,1832,5033,296,611,3,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Umbria,371,729,78,128,4,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Valle d'Aosta,146,209,13,37,0,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Veneto,2280,6000,290,1000,0,Dati della Protezione Civile del 23 Novembre 2020 ore 18:53,,,,,
Lombardia,8360,15722,932,1452,78,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Marche,555,1186,89,193,65,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Molise,61,221,10,34,0,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
P.A. Bolzano,459,461,40,77,2,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
P.A. Trento,436,604,42,90,15,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Piemonte,5116,5824,404,628,99,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Puglia,1485,3286,205,452,70,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Sardegna,527,1563,73,181,33,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Sicilia,1601,4251,243,832,196,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Toscana,1771,5033,296,611,3,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Umbria,368,727,72,130,2,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Valle d'Aosta,143,209,14,37,0,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Veneto,2336,6000,300,1000,0,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Abruzzo,672,1345,71,183,0,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Basilicata,160,443,19,90,21,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Calabria,429,845,42,151,19,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Campania,2274,5283,201,590,66,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Emilia-Romagna,2723,5540,243,714,30,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Friuli Venezia Giulia,561,1277,54,175,0,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Lazio,3361,6411,345,943,194,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Liguria,1179,1880,121,227,12,Dati della Protezione Civile del 24 Novembre 2020 ore 18:58,,,,,
Abruzzo,676,1343,72,183,0,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Basilicata,154,443,22,90,19,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Calabria,425,845,43,151,19,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Campania,2282,5283,192,590,66,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Emilia-Romagna,2763,5540,249,747,10,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Friuli Venezia Giulia,588,1277,54,175,0,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Lazio,3348,6411,349,943,194,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Liguria,1115,1892,123,227,12,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Lombardia,8114,15678,942,1456,74,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Marche,578,1190,94,197,65,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Molise,66,221,10,34,0,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
P.A. Bolzano,442,461,41,77,2,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
P.A. Trento,421,604,41,90,15,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Piemonte,5095,5824,403,628,99,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Puglia,1483,3286,210,452,70,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Sardegna,515,1547,76,185,33,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Sicilia,1574,4251,250,832,196,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Toscana,1754,5033,286,612,3,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Umbria,361,727,70,130,2,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Valle d'Aosta,137,209,16,37,0,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Veneto,2422,6000,305,1000,0,Dati della Protezione Civile del 25 Novembre 2020 ore 20:26,,,,,
Abruzzo,694,1343,74,183,0,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Basilicata,156,443,22,90,19,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Calabria,428,868,45,152,25,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Campania,2212,5289,200,590,66,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Emilia-Romagna,2679,5540,258,747,10,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Friuli Venezia Giulia,599,1277,55,175,0,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Lazio,3408,6411,352,943,194,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Liguria,1075,1898,114,227,12,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Lombardia,7996,15604,934,1459,71,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Marche,586,1189,90,196,65,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Molise,69,221,9,34,0,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
P.A. Bolzano,434,448,40,77,2,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
P.A. Trento,417,604,43,90,15,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Piemonte,4992,5824,403,628,99,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Puglia,1577,3286,211,452,70,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Sardegna,535,1571,73,181,27,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Sicilia,1545,4251,253,832,196,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Toscana,1712,5033,281,612,3,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Umbria,349,727,68,130,2,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Valle d'Aosta,128,209,17,33,4,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Veneto,2447,6000,304,1000,0,Dati della Protezione Civile del 26 Novembre 2020 ore 19:55,,,,,
Abruzzo,675,1496,73,189,0,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Basilicata,134,429,19,88,13,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Calabria,379,886,29,155,25,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Campania,1558,4545,165,620,36,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Emilia-Romagna,2707,5554,243,747,10,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Friuli Venezia Giulia,640,1277,58,175,0,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Lazio,3075,6421,349,943,194,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Liguria,897,1803,93,222,12,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Lombardia,6554,14336,805,1386,144,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Marche,506,1188,84,193,65,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Molise,61,221,9,34,0,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
P.A. Bolzano,410,557,31,77,2,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
P.A. Trento,404,604,48,90,15,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Piemonte,4276,5824,366,628,99,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Puglia,1576,3447,220,456,70,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Sardegna,607,1653,67,181,27,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Sicilia,1400,4256,215,808,196,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Toscana,1373,5033,261,605,1,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Umbria,330,758,61,130,2,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Valle d'Aosta,107,220,9,33,4,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Veneto,2489,6000,312,1000,0,Dati della Protezione Civile del 05 Dicembre 2020 ore 21:31,,,,,
Abruzzo,667,1496,71,189,0,Dati della Protezione Civile del 06 Dicembre 2020 ore 21:16,,,,,
Basilicata,119,429,18,88,13,Dati della Protezione Civile del 06 Dicembre 2020 ore 21:16,,,,,
Calabria,390,886,32,155,25,Dati della Protezione Civile del 06 Dicembre 2020 ore 21:16,,,,,
Campania,1916,4498,155,620,36,Dati della Protezione Civile del 06 Dicembre 2020 ore 21:16,,,,,
Emilia-Romagna,2736,5554,241,747,10,Dati della Protezione Civile del 06 Dicembre 2020 ore 21:16,,,,,
Friuli Venezia Giulia,652,1277,59,175,0,Dati della Protezione Civile del 06 Dicembre 2020 ore 21:16,,,,,
Lazio,3136,6421,340,943,194,Dati della Protezione Civile del 06 Dicembre 2020 ore 21:16,,,,,
Liguria,868,1789,92,222,12,Dati della Protezione Civile del 06 Dicembre 2020 ore 21:16,,,,,
Lombardia,6372,14298,807,1381,149,Dati della Protezione Civile del 06 Dicembre 2020 ore 21:16,,,,,
Marche,518,1191,82,195,65,Dati della Protezione Civile del 06 Dicembre 2020 ore 21:16,,,,,
Molise,56,221,10,34,0,Dati della Protezione Civile del 06 Dicembre 2020 ore 21:16,,,,,
