Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,62,1324,5,177,23,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Basilicata,48,364,3,88,13,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Calabria,159,964,13,174,3,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Campania,258,3511,19,555,189,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Emilia-Romagna,390,7920,47,889,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Friuli Venezia Giulia,41,1277,8,175,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Lazio,393,6421,59,943,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Liguria,54,1696,8,217,12,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Lombardia,389,6369,62,1530,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Marche,55,971,21,212,60,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Molise,2,176,2,39,26,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
P.A. Bolzano,24,500,9,100,20,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
P.A. Trento,20,517,2,90,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Piemonte,208,5824,25,628,99,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Puglia,164,2741,18,482,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Sardegna,143,1602,15,204,16,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Sicilia,543,3735,72,886,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Toscana,284,5033,50,570,35,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Umbria,41,662,2,84,43,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Valle d'Aosta,3,83,0,33,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Veneto,206,6000,48,1000,0,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
Italia,3487,57690,488,9076,539,Dati della Protezione Civile del 27 Settembre 2021 ore 18:45
