Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,478,1324,31,181,14,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Basilicata,92,354,4,79,14,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Calabria,404,1090,22,202,0,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Campania,1354,4476,84,812,0,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Emilia-Romagna,2519,9001,152,889,0,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Friuli Venezia Giulia,495,1277,37,175,0,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Lazio,2104,6421,192,943,243,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Liguria,698,1824,29,221,12,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Lombardia,2899,10457,218,1810,0,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Marche,340,1027,55,256,49,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Molise,41,176,2,39,26,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
P.A. Bolzano,113,500,11,100,20,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
P.A. Trento,154,517,22,90,0,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Piemonte,1991,6794,116,628,99,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Puglia,683,2909,60,503,0,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Sardegna,376,1602,30,204,16,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Sicilia,1467,3834,140,858,0,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Toscana,1351,5033,98,570,8,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Umbria,221,662,9,86,41,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Valle d'Aosta,56,163,5,34,0,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Veneto,1488,6000,140,1000,0,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
Italia,19324,65441,1457,9680,542,Dati della Protezione Civile del 03 Febbraio 2022 ore 19:26
