Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,196,39030,11286,864,484,4%,443,34,0&,41,3.14,0%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Basilicata,87,12452,6881,1236,90,1%,87,16,8.8&,3,0.54,-25%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Calabria,295,28722,9990,519,318,3%,291,15,2.1&,27,1.4,0%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Campania,1132,206128,74066,1280,1529,2%,1432,25,2.2&,97,1.68,4.3%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Emilia-Romagna,1674,200552,55280,1237,2739,5%,2508,56,-0.1&,231,5.17,0%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Friuli Venezia Giulia,870,60381,12983,1072,748,6%,682,56,-0.9&,66,5.45,-2.9%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Lazio,1282,188400,77376,1319,3078,4%,2792,48,0.4&,286,4.88,-4.3%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Liguria,321,65535,4854,315,716,15%,653,42,-2.2&,63,4.08,6.8%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Lombardia,2134,512563,57998,574,4118,7%,3664,36,1.7&,454,4.49,-2.6%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Marche,409,49671,11094,731,676,6%,591,39,0.7&,85,5.6,3.7%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Molise,101,7483,1168,386,64,5%,56,19,0&,8,2.65,14.3%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
P.A. Bolzano,496,33211,12085,2271,228,2%,202,38,-3.3&,26,4.89,13%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
P.A. Trento,186,24938,2386,440,333,14%,287,53,-5.6&,46,8.48,9.5%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Piemonte,1056,212265,15114,348,2626,17%,2464,57,-2.3&,162,3.73,-0.6%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Puglia,1123,108520,56003,1397,1529,3%,1381,34,0.5&,148,3.69,0%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Sardegna,368,35572,17675,1084,549,3%,500,31,-2&,49,3.01,-2%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Sicilia,1954,119290,45452,915,1618,4%,1406,28,0.2&,212,4.27,1%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Toscana,436,127446,8639,232,831,10%,706,19,-1.3&,125,3.36,-3.1%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Umbria,241,32150,4603,523,327,7%,278,32,0&,49,5.57,-2%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Valle d'Aosta,20,7621,413,329,48,12%,44,35,10&,4,3.19,33.3%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Veneto,1929,296803,72371,1475,2655,4%,2317,47,-2.9&,338,6.89,3.4%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
Italia,16310,2368733,557717,926,25304,5%,22784,38,-0.2&,2520,4.18,-0.1%,Dati della Protezione Civile del 16 Gennaio 2021 ore 20:34
