Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,443,1491,37,189,0,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Basilicata,93,434,3,88,13,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Calabria,234,910,19,152,25,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Campania,1355,4519,99,620,36,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Emilia-Romagna,2649,6126,229,757,0,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Friuli Venezia Giulia,652,1277,63,175,0,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Lazio,2792,6421,315,943,194,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Liguria,674,1709,66,218,12,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Lombardia,3293,11596,491,1247,283,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Marche,479,1159,65,216,40,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Molise,51,221,9,34,0,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
P.A. Bolzano,176,453,24,77,2,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
P.A. Trento,369,604,41,90,15,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Piemonte,2777,5824,182,628,99,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Puglia,1503,3426,139,458,80,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Sardegna,479,1694,41,180,27,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Sicilia,1090,4166,186,799,196,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Toscana,825,5033,139,562,3,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Umbria,270,765,47,130,2,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Valle d'Aosta,76,175,2,20,12,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Veneto,2668,6000,372,1000,0,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
Italia,22948,64003,2569,8583,1039,Dati della Protezione Civile del 02 Gennaio 2021 ore 20:04
