Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,109,1382,2,181,0,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Basilicata,16,338,0,79,13,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Calabria,112,952,4,179,0,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Campania,214,3878,9,575,0,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Emilia-Romagna,569,9001,20,889,0,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Friuli Venezia Giulia,92,1277,3,175,0,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Lazio,335,6421,25,943,243,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Liguria,107,1571,3,218,12,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Lombardia,455,10457,8,1810,0,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Marche,52,983,4,230,50,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Molise,9,176,0,39,26,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
P.A. Bolzano,54,500,3,100,20,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
P.A. Trento,44,517,1,90,0,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Piemonte,275,6794,6,628,99,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Puglia,97,2735,7,405,0,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Sardegna,50,1602,7,204,16,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Sicilia,175,3431,12,788,0,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Toscana,162,5033,4,570,13,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Umbria,100,662,1,86,41,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Valle d'Aosta,6,67,0,13,21,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Veneto,260,6000,7,1000,0,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
Italia,3293,63777,126,9202,554,Dati della Protezione Civile del 24 Settembre 2022 ore 23:45
