Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,50,1324,5,177,23,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Basilicata,31,354,1,88,13,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Calabria,104,797,7,169,2,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Campania,317,3832,16,548,195,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Emilia-Romagna,316,6538,38,760,0,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Friuli Venezia Giulia,29,1277,4,175,0,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Lazio,454,6421,67,943,243,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Liguria,66,1675,12,218,12,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Lombardia,317,6369,36,1416,114,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Marche,34,951,6,209,61,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Molise,8,176,1,39,26,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
P.A. Bolzano,12,391,1,100,20,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
P.A. Trento,16,517,1,90,0,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Piemonte,109,5824,8,628,99,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Puglia,128,2731,21,482,0,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Sardegna,131,1602,21,204,16,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Sicilia,531,3549,65,754,196,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Toscana,268,5033,33,570,37,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Umbria,32,684,2,91,36,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Valle d'Aosta,4,83,0,33,0,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Veneto,144,6000,27,1000,0,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
Italia,3101,56128,372,8694,1093,Dati della Protezione Civile del 14 Agosto 2021 ore 18:24
