Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,459,1426,45,187,0,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Basilicata,161,436,11,88,13,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Calabria,461,968,43,156,25,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Campania,1513,4304,146,620,36,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Emilia-Romagna,1948,6538,276,760,0,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Friuli Venezia Giulia,319,1277,40,175,0,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Lazio,2504,6421,332,943,193,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Liguria,543,1811,70,226,12,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Lombardia,4185,11893,644,1416,114,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Marche,505,1352,70,227,39,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Molise,39,221,13,39,0,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
P.A. Bolzano,60,460,9,100,0,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
P.A. Trento,91,557,26,90,15,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Piemonte,2447,5824,275,628,99,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Puglia,1778,3768,253,586,0,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Sardegna,368,1602,52,216,33,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Sicilia,1232,3852,177,835,196,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Toscana,1501,5033,256,626,16,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Umbria,187,807,36,117,2,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Valle d'Aosta,46,227,12,30,6,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Veneto,1093,6000,193,1000,0,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
Italia,21440,64777,2979,9065,799,Dati della Protezione Civile del 23 Aprile 2021 ore 18:20
