Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,144,73.030,6.886,532,234,3%,215,17,-850%,19,147,-500%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Basilicata,114,25.416,5.317,961,125,2%,116,21,-410%,9,163,-1000%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Calabria,253,64.215,12.345,652,411,3%,382,20,-450%,29,153,360%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Campania,1.118,409.771,80.651,1.412,1.349,2%,1.247,22,-300%,102,179,-290%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Emilia-Romagna,551,378.607,26.892,602,1.296,5%,1.136,25,-530%,160,358,-180%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Friuli Venezia Giulia,36,106.404,5.883,488,106,2%,89,7,-920%,17,141,-560%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Lazio,706,335.276,34.741,604,1.830,5%,1.599,28,060%,231,401,-090%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Liguria,138,101.605,3.207,210,352,11%,303,20,-710%,49,321,430%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Lombardia,1.160,823.539,38.689,386,2.662,7%,2.251,22,-430%,411,410,-140%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Marche,252,100.660,4.803,318,328,7%,278,18,-280%,50,331,000%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Molise,15,13.492,334,111,22,7%,18,6,-1000%,4,133,000%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
P.A. Bolzano,73,72.106,1.036,195,30,3%,23,4,-420%,7,131,000%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
P.A. Trento,51,44.788,807,148,68,8%,50,9,000%,18,330,000%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Piemonte,595,354.935,11.509,267,1.546,13%,1.402,33,-630%,144,334,070%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Puglia,591,245.378,39.241,993,1.321,3%,1.182,30,-460%,139,352,-350%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Sardegna,99,56.032,14.550,903,261,2%,222,14,-790%,39,242,000%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Sicilia,573,219.093,18.009,369,961,5%,841,17,-480%,120,246,-320%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Toscana,529,235.772,14.974,406,1.117,7%,935,25,-440%,182,493,-270%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Umbria,73,55.691,2.481,285,144,6%,126,14,080%,18,207,-1430%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Valle d'Aosta,43,11.354,516,413,31,6%,25,20,1900%,6,480,000%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Veneto,453,419.558,16.735,343,716,4%,610,13,-470%,106,217,-280%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Italia,7.567,4.146.722,339.606,569,14.910,4%,13.050,22,-410%,1.860,312,-170%,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
