Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,453,1476,48,189,0,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Basilicata,84,424,2,88,13,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Calabria,261,913,26,152,25,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Campania,1490,4459,103,620,36,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Emilia-Romagna,1990,6126,182,757,0,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Friuli Venezia Giulia,536,1277,65,175,0,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Lazio,2264,6421,272,943,193,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Liguria,631,1736,62,217,12,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Lombardia,3549,10476,359,1200,330,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Marche,532,1174,74,233,40,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Molise,65,221,10,39,0,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
P.A. Bolzano,255,560,35,100,0,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
P.A. Trento,142,594,32,90,15,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Piemonte,2021,5824,147,628,99,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Puglia,1416,3448,168,460,80,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Sardegna,403,1602,29,201,35,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Sicilia,1244,4051,182,832,196,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Toscana,643,5033,105,552,11,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Umbria,377,785,66,130,2,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Valle d'Aosta,25,227,3,20,12,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Veneto,1194,6000,172,1000,0,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
Italia,19575,62827,2142,8626,1099,Dati della Protezione Civile del 05 Febbraio 2021 ore 18:44
