Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,435,1491,34,189,0,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Basilicata,87,432,7,88,13,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Calabria,270,918,21,152,25,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Campania,1449,4196,102,620,36,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Emilia-Romagna,2711,5747,206,757,0,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Friuli Venezia Giulia,572,1277,54,175,0,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Lazio,2666,6421,290,943,194,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Liguria,663,1644,64,218,12,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Lombardia,3976,12124,522,1262,268,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Marche,398,1162,60,216,40,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Molise,52,221,7,34,0,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
P.A. Bolzano,147,466,19,77,2,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
P.A. Trento,306,604,49,90,15,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Piemonte,3029,5824,214,628,99,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Puglia,1413,3471,166,458,84,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Sardegna,484,1653,43,180,27,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Sicilia,995,4151,174,804,196,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Toscana,843,5033,166,576,3,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Umbria,240,780,36,130,2,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Valle d'Aosta,84,176,4,33,4,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Veneto,2582,6000,346,1000,0,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
Italia,23402,63791,2584,8630,1020,Dati della Protezione Civile del 25 Dicembre 2020 ore 18:58
