Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,25,1324,1,185,23,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Basilicata,14,414,0,88,13,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Calabria,47,818,3,151,25,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Campania,171,3828,12,575,81,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Emilia-Romagna,148,6538,15,760,0,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Friuli Venezia Giulia,6,1277,1,175,0,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Lazio,105,6421,25,943,193,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Liguria,8,1702,5,212,12,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Lombardia,143,6369,30,1416,114,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Marche,11,951,2,209,57,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Molise,0,176,0,69,0,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
P.A. Bolzano,5,391,0,100,0,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
P.A. Trento,0,517,1,60,15,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Piemonte,48,5824,3,628,99,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Puglia,65,2799,9,462,0,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Sardegna,43,1602,3,216,33,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Sicilia,144,2999,23,650,196,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Toscana,60,5033,16,775,37,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Umbria,4,671,1,97,30,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Valle d'Aosta,0,67,0,15,6,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Veneto,41,6000,11,1000,0,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
Italia,1088,55721,161,8786,934,Dati della Protezione Civile del 16 Luglio 2021 ore 17:29
