Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,28,1324,1,185,23,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Basilicata,12,414,0,88,13,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Calabria,44,798,2,151,25,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Campania,197,3828,14,575,81,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Emilia-Romagna,144,6538,13,760,0,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Friuli Venezia Giulia,4,1277,1,175,0,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Lazio,129,6421,25,943,193,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Liguria,11,1702,6,212,12,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Lombardia,131,6369,35,1416,114,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Marche,9,951,2,209,57,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Molise,1,176,0,32,0,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
P.A. Bolzano,6,391,2,100,0,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
P.A. Trento,0,517,0,60,15,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Piemonte,55,5824,3,628,99,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Puglia,69,2799,8,462,0,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Sardegna,42,1602,1,216,33,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Sicilia,139,3050,20,655,196,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Toscana,57,5033,15,446,37,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Umbria,8,671,1,97,30,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Valle d'Aosta,0,81,0,30,6,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Veneto,42,6000,8,1000,0,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
Italia,1128,55766,157,8440,934,Dati della Protezione Civile del 13 Luglio 2021 ore 18:12
