Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,91,1324,8,181,14,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Basilicata,21,362,2,88,13,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Calabria,119,967,12,174,3,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Campania,289,3519,24,520,219,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Emilia-Romagna,557,7920,57,889,0,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Friuli Venezia Giulia,223,1277,26,175,0,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Lazio,656,6421,84,943,243,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Liguria,118,1709,18,217,12,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Lombardia,686,6509,65,1530,0,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Marche,68,966,23,238,57,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Molise,9,176,1,39,26,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
P.A. Bolzano,79,500,9,100,20,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
P.A. Trento,51,517,6,90,0,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Piemonte,337,5824,30,628,99,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Puglia,149,2722,17,482,0,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Sardegna,52,1602,12,204,16,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Sicilia,352,3612,41,859,0,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Toscana,255,5033,44,570,34,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Umbria,48,662,6,84,43,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Valle d'Aosta,6,83,1,33,0,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Veneto,341,6000,63,1000,0,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
Italia,4507,57705,549,9044,799,Dati della Protezione Civile del 22 Novembre 2021 ore 19:52
