Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,76,1369,4,185,23,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Basilicata,38,452,0,88,13,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Calabria,156,923,10,156,25,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Campania,467,4056,40,583,73,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Emilia-Romagna,321,6538,61,760,0,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Friuli Venezia Giulia,17,1277,3,175,0,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Lazio,512,6421,103,943,193,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Liguria,57,1703,18,214,12,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Lombardia,660,7439,122,1416,114,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Marche,70,1115,10,210,61,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Molise,8,221,0,39,0,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
P.A. Bolzano,14,431,1,100,0,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
P.A. Trento,14,517,4,60,15,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Piemonte,351,5824,47,628,99,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Puglia,272,3434,22,549,0,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Sardegna,83,1602,5,216,33,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Sicilia,337,3366,38,739,196,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Toscana,232,5033,73,474,26,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Umbria,40,671,5,97,30,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Valle d'Aosta,5,205,0,30,6,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Veneto,146,6000,31,1000,0,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
Italia,3876,58597,597,8662,919,Dati della Protezione Civile del 11 Giugno 2021 ore 19:48
