Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,215,1369,19,185,0,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Basilicata,116,462,9,88,13,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Calabria,382,987,29,156,25,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Campania,1247,4304,102,620,36,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Emilia-Romagna,1136,6538,160,760,0,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Friuli Venezia Giulia,89,1277,17,175,0,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Lazio,1599,6421,231,943,193,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Liguria,303,1815,49,226,12,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Lombardia,2251,9563,411,1416,114,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Marche,278,1230,50,210,54,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Molise,18,221,4,39,0,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
P.A. Bolzano,23,424,7,100,0,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
P.A. Trento,50,517,18,90,15,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Piemonte,1402,5824,144,628,99,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Puglia,1182,3768,139,586,0,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Sardegna,222,1602,39,216,33,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Sicilia,841,3850,120,844,196,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Toscana,935,5033,182,588,16,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Umbria,126,662,18,116,0,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Valle d'Aosta,25,227,6,30,6,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Veneto,610,6000,106,1000,0,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
Italia,13050,62094,1860,9016,812,Dati della Protezione Civile del 14 Maggio 2021 ore 18:06
