Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,386,1382,14,181,14,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Basilicata,95,369,1,79,14,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Calabria,294,1118,18,202,0,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Campania,742,4526,45,752,0,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Emilia-Romagna,1422,9001,76,889,0,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Friuli Venezia Giulia,214,1277,15,175,0,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Lazio,1412,6421,122,943,243,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Liguria,352,1727,18,221,12,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Lombardia,1052,10457,97,1810,0,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Marche,209,1025,28,256,49,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Molise,25,176,2,39,26,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
P.A. Bolzano,71,500,2,100,20,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
P.A. Trento,54,517,6,90,0,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Piemonte,949,6794,40,628,99,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Puglia,595,2923,31,503,0,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Sardegna,337,1602,26,204,16,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Sicilia,1049,3782,67,853,0,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Toscana,805,5033,51,570,8,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Umbria,151,662,6,86,41,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Valle d'Aosta,25,163,3,34,0,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Veneto,612,6000,46,1000,0,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
Italia,10851,65455,714,9615,542,Dati della Protezione Civile del 28 Febbraio 2022 ore 19:09
