Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,178,1369,17,185,23,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Basilicata,82,448,6,88,13,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Calabria,285,973,28,152,25,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Campania,967,4246,85,620,36,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Emilia-Romagna,766,6538,122,760,0,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Friuli Venezia Giulia,57,1277,9,175,0,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Lazio,1255,6421,194,943,193,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Liguria,190,1809,43,228,12,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Lombardia,1480,8874,294,1416,114,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Marche,176,1188,36,210,54,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Molise,15,221,5,39,0,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
P.A. Bolzano,13,422,4,100,0,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
P.A. Trento,35,517,13,90,15,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Piemonte,861,5824,108,628,99,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Puglia,838,3768,95,586,0,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Sardegna,182,1602,33,216,33,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Sicilia,618,3857,102,834,196,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Toscana,625,5033,135,562,18,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Umbria,78,689,13,116,0,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Valle d'Aosta,16,227,0,30,6,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Veneto,444,6000,68,1000,0,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
Italia,9161,61303,1410,8978,837,Dati della Protezione Civile del 23 Maggio 2021 ore 17:50
