Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,39,1324,1,177,23,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Basilicata,19,326,1,88,13,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Calabria,74,771,5,169,0,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Campania,239,3832,12,548,195,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Emilia-Romagna,256,6538,22,760,0,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Friuli Venezia Giulia,21,1277,4,175,0,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Lazio,379,6421,51,943,243,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Liguria,35,1668,12,214,12,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Lombardia,247,6369,32,1416,114,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Marche,37,951,5,209,61,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Molise,1,176,1,39,26,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
P.A. Bolzano,8,391,2,100,20,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
P.A. Trento,8,517,1,90,0,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Piemonte,86,5824,5,628,99,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Puglia,84,2810,12,456,0,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Sardegna,87,1602,19,196,39,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Sicilia,351,3101,36,714,196,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Toscana,177,5033,21,570,37,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Umbria,20,687,2,91,36,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Valle d'Aosta,4,67,0,33,0,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Veneto,137,6000,16,1000,0,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
Italia,2309,55685,260,8616,1114,Dati della Protezione Civile del 04 Agosto 2021 ore 19:00
