Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,50,74.874,884,68,25,3%,24,2,-400%,1,008,000%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Basilicata,16,26.964,663,120,15,2%,15,3,-1180%,0,000,000%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Calabria,27,68.989,4.974,263,65,1%,59,3,-1450%,6,032,2000%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Campania,107,424.419,7.861,138,236,3%,217,4,-050%,19,033,-500%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Emilia-Romagna,61,386.888,2.857,64,203,7%,179,4,-270%,24,054,-1110%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Friuli Venezia Giulia,15,106.957,192,16,8,4%,8,1,000%,0,000,000%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Lazio,72,346.037,3.028,53,228,8%,181,3,-470%,47,082,-410%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Liguria,12,103.445,129,8,22,17%,16,1,-1580%,6,039,-1430%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Lombardia,136,841.961,10.442,104,250,2%,201,2,-780%,49,049,-390%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Marche,46,103.686,1.283,85,15,1%,12,1,-2500%,3,020,-2500%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Molise,1,13.720,65,22,4,6%,4,1,000%,0,000,000%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
P.A. Bolzano,14,73.315,137,26,9,7%,7,1,1670%,2,038,-3330%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
P.A. Trento,5,45.775,62,11,4,6%,4,1,-2000%,0,000,000%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Piemonte,20,362.944,785,18,156,20%,145,3,-460%,11,026,-2140%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Puglia,40,253.381,2.727,69,130,5%,119,3,-080%,11,028,000%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Sardegna,10,57.246,2.315,144,45,2%,43,3,1940%,2,012,-3330%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Sicilia,137,231.833,3.885,80,169,4%,151,3,-260%,18,037,-1000%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Toscana,53,244.327,1.744,47,109,6%,86,2,-440%,23,062,-420%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Umbria,3,56.856,715,82,16,2%,15,2,000%,1,011,000%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Valle d'Aosta,2,11.693,36,29,1,3%,1,1,000%,0,000,000%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Veneto,55,425.478,4.574,94,51,1%,45,1,000%,6,012,-1430%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
Italia,882,4.260.788,49.358,83,1.761,4%,1.532,3,-380%,229,038,-730%,Dati della Protezione Civile del 01 Luglio 2021 ore 18:25
