Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,136,1382,5,181,0,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Basilicata,19,338,0,79,14,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Calabria,121,952,9,179,0,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Campania,245,3878,10,575,0,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Emilia-Romagna,593,9001,19,889,0,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Friuli Venezia Giulia,125,1277,5,175,0,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Lazio,375,6421,25,943,243,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Liguria,112,1559,5,218,12,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Lombardia,517,10457,8,1810,0,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Marche,57,983,4,230,48,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Molise,6,176,0,39,26,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
P.A. Bolzano,89,500,4,100,20,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
P.A. Trento,56,517,3,90,0,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Piemonte,295,6794,5,628,99,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Puglia,112,2735,5,405,0,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Sardegna,60,1602,6,204,16,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Sicilia,165,3365,12,791,0,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Toscana,191,5033,2,570,13,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Umbria,115,662,2,86,41,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Valle d'Aosta,8,67,0,13,21,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Veneto,318,6000,10,1000,0,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
Italia,3715,63699,139,9205,553,Dati della Protezione Civile del 28 Settembre 2022 ore 23:45
