Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,259,1382,4,181,0,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Basilicata,95,368,0,79,14,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Calabria,306,1008,17,183,0,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Campania,734,3907,27,569,0,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Emilia-Romagna,1477,9001,46,889,0,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Friuli Venezia Giulia,236,1277,7,175,0,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Lazio,924,6421,69,943,243,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Liguria,374,1647,10,218,12,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Lombardia,1455,10457,42,1810,0,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Marche,177,983,8,230,50,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Molise,22,176,2,39,26,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
P.A. Bolzano,95,500,1,100,20,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
P.A. Trento,82,517,1,90,0,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Piemonte,543,6794,10,628,99,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Puglia,472,2751,18,405,0,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Sardegna,155,1602,9,204,16,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Sicilia,1000,3644,51,792,0,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Toscana,709,5033,29,570,20,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Umbria,269,662,11,86,41,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Valle d'Aosta,25,85,0,13,21,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Veneto,706,6000,29,1000,0,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Italia,10115,64215,391,9204,562,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
