Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,465,1491,41,189,0,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Basilicata,81,423,4,88,13,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Calabria,256,908,25,152,25,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Campania,1377,4588,106,620,36,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Emilia-Romagna,2705,6126,237,757,0,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Friuli Venezia Giulia,703,1277,64,175,0,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Lazio,2850,6421,323,943,194,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Liguria,709,1757,64,216,12,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Lombardia,3598,11547,459,1223,307,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Marche,541,1176,73,217,40,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Molise,56,221,7,34,0,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
P.A. Bolzano,221,456,24,77,2,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
P.A. Trento,343,604,46,90,15,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Piemonte,2703,5824,176,628,99,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Puglia,1375,3425,165,458,80,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Sardegna,507,1694,47,180,27,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Sicilia,1265,4167,208,813,196,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Toscana,769,5033,140,557,3,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Umbria,265,765,50,130,2,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Valle d'Aosta,53,244,1,20,12,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Veneto,2585,6000,355,1000,0,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
Italia,23427,64147,2615,8567,1063,Dati della Protezione Civile del 10 Gennaio 2021 ore 19:31
