Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,257,32630,13986,1071,655,5%,599,46,-0.3&,56,4.29,-5.1%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Basilicata,95,9648,6038,1084,120,2%,109,20,2.8&,11,1.98,0%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Calabria,194,20331,8882,461,340,4%,318,17,-5.1&,22,1.14,4.8%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Campania,900,176600,88204,1524,1825,2%,1701,29,-1.1&,124,2.14,0.8%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Emilia-Romagna,1238,148794,62846,1407,2985,5%,2773,62,-0.9&,212,4.75,-0.9%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Friuli Venezia Giulia,779,42099,13751,1135,688,5%,634,52,-3.1&,54,4.46,-3.6%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Lazio,1220,143370,81267,1385,3174,4%,2869,49,-1.8&,305,5.2,-5%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Liguria,275,56318,8029,520,826,10%,755,49,-1.7&,71,4.6,0%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Lombardia,2994,450005,69733,690,5575,8%,4946,49,-1&,629,6.23,-4.1%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Marche,480,35680,11131,733,523,5%,448,30,-4.1&,75,4.94,-3.8%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Molise,25,5783,2664,881,68,3%,58,19,-1.7&,10,3.31,25%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
P.A. Bolzano,285,27225,10654,2002,225,2%,203,38,-2.4&,22,4.13,-8.3%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
P.A. Trento,244,19090,2802,516,464,17%,414,76,0.5&,50,9.21,-5.7%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Piemonte,1215,188387,48103,1108,3955,8%,3698,85,-1.7&,257,5.92,-3.4%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Puglia,1388,76039,52850,1319,1683,3%,1498,37,-2.1&,185,4.62,-1.1%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Sardegna,405,27142,15484,950,607,4%,550,34,-3.5&,57,3.5,-1.7%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Sicilia,1065,81256,35176,708,1371,4%,1188,24,-3&,183,3.68,-1.1%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Toscana,489,113610,15035,404,1303,9%,1101,30,-4.8&,202,5.43,-5.6%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Umbria,169,26587,4323,491,317,7%,270,31,-6.3&,47,5.34,2.2%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Valle d'Aosta,38,6943,523,417,74,14%,67,53,-9.5&,7,5.58,16.7%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Veneto,3817,200607,94225,1920,3045,3%,2698,55,0.1&,347,7.07,0.3%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
Italia,17572,1888144,645706,1072,29823,5%,26897,45,-1.6&,2926,4.86,-2.6%,Dati della Protezione Civile del 16 Dicembre 2020 ore 20:00
