Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPIA INTENSIVA,fonte
Abruzzo,3.275,468.074,54.459,4.251,263,0%,259,20,280%,4,031,3330%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Basilicata,1.144,159.088,14.543,2.668,95,1%,95,17,-100%,0,000,000%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Calabria,3.149,454.618,63.768,3.427,323,1%,306,16,-290%,17,091,2140%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Campania,12.612,1.989.201,187.650,3.336,761,0%,734,13,730%,27,048,-690%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Emilia-Romagna,8.441,1.668.396,84.343,1.900,1.523,2%,1.477,33,350%,46,104,-210%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Friuli Venezia Giulia,2.388,425.918,23.364,1.945,243,1%,236,20,930%,7,058,4000%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Lazio,9.748,1.853.026,211.404,3.689,993,0%,924,16,-010%,69,120,000%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Liguria,2.419,504.735,23.119,1.522,384,2%,374,25,300%,10,066,-910%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Lombardia,14.429,3.220.567,164.976,1.653,1.497,1%,1.455,15,350%,42,042,500%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Marche,3.424,536.303,21.539,1.438,185,1%,177,12,-170%,8,053,000%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Molise,572,76.771,4.976,1.691,24,0%,22,7,1580%,2,068,10000%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
P.A. Bolzano,941,236.462,7.041,1.316,96,1%,95,18,110%,1,019,-5000%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
P.A. Trento,932,184.004,7.458,1.376,83,1%,82,15,930%,1,018,000%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Piemonte,5.944,1.319.129,61.412,1.437,553,1%,543,13,230%,10,023,-910%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Puglia,8.139,1.312.968,92.912,2.362,490,1%,472,12,630%,18,046,-1000%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Sardegna,3.087,387.298,39.527,2.486,164,0%,155,10,200%,9,057,-1000%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Sicilia,8.178,1.462.621,141.477,2.927,1.051,1%,1.000,21,150%,51,106,630%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Toscana,5.594,1.279.596,88.075,2.385,738,1%,709,19,380%,29,079,000%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Umbria,2.006,328.995,23.019,2.660,280,1%,269,31,-040%,11,127,3750%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Valle d'Aosta,175,39.626,1.517,1.223,25,2%,25,20,-740%,0,000,000%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Veneto,10.525,1.980.147,106.846,2.194,735,1%,706,14,350%,29,060,-940%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
Italia,107.122,19.887.543,1.423.425,2.403,10.506,1%,10.115,17,290%,391,066,080%,Dati della Protezione Civile del 14 Luglio 2022 ore 23:45
