Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,91,1369,7,185,23,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Basilicata,48,448,0,88,13,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Calabria,189,927,15,156,25,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Campania,566,4115,43,583,73,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Emilia-Romagna,404,6538,72,760,0,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Friuli Venezia Giulia,28,1277,2,175,0,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Lazio,686,6421,124,943,193,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Liguria,77,1699,23,214,12,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Lombardia,799,7545,167,1416,114,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Marche,81,1135,17,210,61,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Molise,6,221,0,39,0,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
P.A. Bolzano,13,429,1,100,0,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
P.A. Trento,21,517,6,90,15,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Piemonte,461,5824,64,628,99,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Puglia,399,3434,32,549,0,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Sardegna,105,1602,7,216,33,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Sicilia,392,3508,43,757,196,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Toscana,298,5033,88,478,26,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Umbria,50,681,5,116,0,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Valle d'Aosta,6,227,0,30,6,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Veneto,190,6000,43,1000,0,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
Italia,4910,58950,759,8733,889,Dati della Protezione Civile del 07 Giugno 2021 ore 17:48
