Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,127,1382,4,181,0,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Basilicata,31,358,1,79,14,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Calabria,161,960,5,177,0,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Campania,270,3878,11,575,0,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Emilia-Romagna,772,9001,29,889,0,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Friuli Venezia Giulia,127,1277,3,175,0,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Lazio,482,6421,36,943,243,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Liguria,168,1604,1,218,12,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Lombardia,540,10457,16,1810,0,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Marche,78,983,4,230,50,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Molise,9,176,3,39,26,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
P.A. Bolzano,22,500,1,100,20,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
P.A. Trento,45,517,2,90,0,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Piemonte,251,6794,7,628,99,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Puglia,183,2735,7,405,0,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Sardegna,80,1602,5,204,16,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Sicilia,292,3516,25,794,0,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Toscana,211,5033,6,570,13,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Umbria,124,662,1,86,41,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Valle d'Aosta,2,67,0,13,21,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Veneto,324,6000,17,1000,0,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
Italia,4299,63923,184,9206,555,Dati della Protezione Civile del 07 Settembre 2022 ore 23:45
