Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,240,38834,11247,861,484,4%,443,34,-2.2&,41,3.14,2.5%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Basilicata,78,12365,6832,1227,84,1%,80,14,0&,4,0.72,0%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Calabria,405,28427,9810,510,312,3%,285,15,0.4&,27,1.4,-6.9%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Campania,1150,204996,72933,1261,1494,2%,1401,24,2.6&,93,1.61,-10.6%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Emilia-Romagna,1794,198878,55510,1243,2742,5%,2511,56,-3.8&,231,5.17,-0.9%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Friuli Venezia Giulia,919,59511,12879,1063,756,6%,688,57,3&,68,5.61,0%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Lazio,1394,187118,77755,1326,3079,4%,2780,47,-1.2&,299,5.1,1.4%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Liguria,254,65214,5034,326,727,14%,668,43,-1.5&,59,3.82,-9.2%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Lombardia,2205,510429,57154,566,4067,7%,3601,36,-0.4&,466,4.61,-0.4%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Marche,629,49262,11689,770,669,6%,587,39,0.7&,82,5.4,7.9%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Molise,39,7382,1130,374,63,6%,56,19,-1.8&,7,2.32,-12.5%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
P.A. Bolzano,529,32715,11807,2219,232,2%,209,39,-1.4&,23,4.32,0%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
P.A. Trento,362,24752,2308,425,346,15%,304,56,-3.8&,42,7.74,0%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Piemonte,871,211209,14806,341,2685,18%,2522,58,-2.1&,163,3.75,-5.2%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Puglia,1295,107397,55822,1393,1522,3%,1374,34,-0.9&,148,3.69,-8.6%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Sardegna,260,35204,17451,1070,560,3%,510,31,-3.2&,50,3.07,0%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Sicilia,1945,117336,45045,907,1613,4%,1403,28,0.4&,210,4.23,2.4%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Toscana,446,127010,8598,231,844,10%,715,19,-1.1&,129,3.47,-2.3%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Umbria,232,31909,4489,510,328,7%,278,32,0.4&,50,5.68,-2%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Valle d'Aosta,20,7601,416,331,43,10%,40,32,-7&,3,2.39,50%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Veneto,1079,294874,75353,1535,2713,4%,2386,49,-2.5&,327,6.66,-0.3%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
Italia,16146,2352423,558068,926,25363,5%,22841,38,-1.2&,2522,4.19,-1.4%,Dati della Protezione Civile del 15 Gennaio 2021 ore 20:59
