codice_regione,data,codice_nuts_2,denominazione_regione,soglia250
16,2020-03-03T18:00:00,ITF4,Puglia,0
20,2020-03-03T18:00:00,ITG2,Sardegna,0
19,2020-03-03T18:00:00,ITG1,Sicilia,0
09,2020-03-03T18:00:00,ITI1,Toscana,0
10,2020-03-03T18:00:00,ITI2,Umbria,1
02,2020-03-03T18:00:00,ITC2,Valle d'Aosta,0
05,2020-03-03T18:00:00,ITH3,Veneto,5
13,2020-03-04T17:00:00,ITF1,Abruzzo,1
17,2020-03-04T17:00:00,ITF5,Basilicata,0
18,2020-03-04T17:00:00,ITF6,Calabria,0
15,2020-03-04T17:00:00,ITF3,Campania,1
08,2020-03-04T17:00:00,ITH5,Emilia-Romagna,11
06,2020-03-04T17:00:00,ITH4,Friuli Venezia Giulia,1
12,2020-03-04T17:00:00,ITI4,Lazio,0
07,2020-03-04T17:00:00,ITC3,Liguria,1
03,2020-03-04T17:00:00,ITC4,Lombardia,16
11,2020-03-04T17:00:00,ITI3,Marche,5
14,2020-03-04T17:00:00,ITF2,Molise,1
21,2020-03-04T17:00:00,ITH1,P.A. Bolzano,0
22,2020-03-04T17:00:00,ITH2,P.A. Trento,1
01,2020-03-04T17:00:00,ITC1,Piemonte,2
16,2020-03-04T17:00:00,ITF4,Puglia,0
20,2020-03-04T17:00:00,ITG2,Sardegna,0
19,2020-03-04T17:00:00,ITG1,Sicilia,0
09,2020-03-04T17:00:00,ITI1,Toscana,1
10,2020-03-04T17:00:00,ITI2,Umbria,1
02,2020-03-04T17:00:00,ITC2,Valle d'Aosta,0
05,2020-03-04T17:00:00,ITH3,Veneto,6
13,2020-03-05T17:00:00,ITF1,Abruzzo,1
17,2020-03-05T17:00:00,ITF5,Basilicata,0
18,2020-03-05T17:00:00,ITF6,Calabria,0
15,2020-03-05T17:00:00,ITF3,Campania,1
08,2020-03-05T17:00:00,ITH5,Emilia-Romagna,13
06,2020-03-05T17:00:00,ITH4,Friuli Venezia Giulia,2
12,2020-03-05T17:00:00,ITI4,Lazio,1
07,2020-03-05T17:00:00,ITC3,Liguria,1
03,2020-03-05T17:00:00,ITC4,Lombardia,18
11,2020-03-05T17:00:00,ITI3,Marche,8
14,2020-03-05T17:00:00,ITF2,Molise,2
21,2020-03-05T17:00:00,ITH1,P.A. Bolzano,0
22,2020-03-05T17:00:00,ITH2,P.A. Trento,1
01,2020-03-05T17:00:00,ITC1,Piemonte,2
16,2020-03-05T17:00:00,ITF4,Puglia,0
20,2020-03-05T17:00:00,ITG2,Sardegna,0
19,2020-03-05T17:00:00,ITG1,Sicilia,0
09,2020-03-05T17:00:00,ITI1,Toscana,2
10,2020-03-05T17:00:00,ITI2,Umbria,1
02,2020-03-05T17:00:00,ITC2,Valle d'Aosta,2
05,2020-03-05T17:00:00,ITH3,Veneto,6
13,2020-03-06T17:00:00,ITF1,Abruzzo,1
17,2020-03-06T17:00:00,ITF5,Basilicata,1
18,2020-03-06T17:00:00,ITF6,Calabria,0
15,2020-03-06T17:00:00,ITF3,Campania,1
08,2020-03-06T17:00:00,ITH5,Emilia-Romagna,16
06,2020-03-06T17:00:00,ITH4,Friuli Venezia Giulia,3
12,2020-03-06T17:00:00,ITI4,Lazio,1
07,2020-03-06T17:00:00,ITC3,Liguria,1
03,2020-03-06T17:00:00,ITC4,Lombardia,21
11,2020-03-06T17:00:00,ITI3,Marche,10
14,2020-03-06T17:00:00,ITF2,Molise,4
21,2020-03-06T17:00:00,ITH1,P.A. Bolzano,1
22,2020-03-06T17:00:00,ITH2,P.A. Trento,2
01,2020-03-06T17:00:00,ITC1,Piemonte,3
16,2020-03-06T17:00:00,ITF4,Puglia,0
20,2020-03-06T17:00:00,ITG2,Sardegna,0
19,2020-03-06T17:00:00,ITG1,Sicilia,0
09,2020-03-06T17:00:00,ITI1,Toscana,2
10,2020-03-06T17:00:00,ITI2,Umbria,2
02,2020-03-06T17:00:00,ITC2,Valle d'Aosta,6
