"VENETO",""
"PADOVA","144"
"TREVISO","82"
"VENEZIA","48"
"VERONA","17"
"in fase di verifica e aggiornamento","5"
"VICENZA","5"
"BELLUNO","5"
"ROVIGO","1"
"Totale","307"
